"%1 amount %2ed by Admin. Admin added a note for the transaction: %3","%1 amount %2ed by Admin. Admin added a note for the transaction: %3"
"Total of %1 Customer(s) wallet are updated","Total of %1 Customer(s) wallet are updated"
"Respective amount is not available in customer's wallet with customer id %1 to subtract","Respective amount is not available in customer's wallet with customer id %1 to subtract"
"Maximum wallet amount should be %1","Maximum wallet amount should be %1"
"Minimum wallet amount should be %1","Minimum wallet amount should be %1"
"Product based","Product based"
"Cart Based","Cart Based"
"Fixed","Fixed"
"Percent","Percent"
"Order id : %1 Cash Back Amount","Order id : %1 Cash Back Amount"
"Are you sure? you want to delete Wallet Amount product?","Are you sure? you want to delete Wallet Amount product?"
"There is some error during executing this process, please try again later.","There is some error during executing this process, please try again later."
"My Wallet","My Wallet"
"Transfer Amount","Transfer Amount"
"Session expired for this transaction, please try again","Session expired for this transaction, please try again"
"Code has been sent to your email id.","Code has been sent to your email id."
"You don't have enough amount in your wallet.","You don't have enough amount in your wallet."
"Please try again with valid data.","Please try again with valid data."
"Code Session Expired, please try again","Code Session Expired, please try again"
"Verification Code","Verification Code"
"Transaction note","Transaction note"
"Transaction At","Transaction At"
"Reciver","Reciver"
"Type","Type"
"Action","Action"
"Amount","Amount"
"Reference","Reference"
"Sender","Sender"
"Enter code","Enter code"
"Send amount","Send amount"
"Resend Code","Resend Code"
"Please Select a customer","Please Select a customer"
"Transfer Money to Customer","Transfer Money to Customer"
"Note","Note"
"No Customer is available","No Customer is available"
"Manage Wallet Amount", "Manage Wallet Amount"
"Transfer Wallet Amount", "Transfer Wallet Amount"
"Adding To Wallet", "Adding To Wallet"
"Wallet Holder's Name", "Wallet Holder's Name"
"Current Amount", "Current Amount"
